class_tag,mean_hours
AFRIKAAN AA,3.44
AFRIKAAN AB,3.20
AMHARIC AB,1.75
AMHARIC BA,2.33
ANTHRO 98B,4.71
ANTHRO 3636,1.67
BCMP 230,2.80
CLAS-HEB AA,8.00
CLASSIC 98 001,4.40
CLASSIC 98 001,4.40
CLASSIC 98 001,4.40
CLASSIC 98 001,4.40
ECON 985A,5.67
ECON 985B,9.00
ECON 2903,
ECON 2903,
ECON 2903,
ECON 2903,
ECON 2912,
ECON 2912,
ECON 2912,
ECON 2912,
ECON 3012,0.00
ECON 3012,0.00
ECON 3012,0.00
ECON 3012,0.00
EGYPTIAN AA,5.25
FRENCH 10 001,5.57
FRENCH 10,5.57
FRENCH 10 002,5.00
FRENCH 10 003,7.43
FRENCH 10 004,5.78
FRENCH 11 001,5.50
FRENCH 11 001,5.50
FRENCH 11 001,5.50
FRENCH 11 001,5.50
FRENCH 11 002,3.75
FRENCH 11 002,3.75
FRENCH 11 002,3.75
FRENCH 11 002,3.75
FRENCH 11 003,4.09
FRENCH 11 004,5.50
FRENCH 15,6.00
FRENCH 16,6.17
FRENCH 16,6.17
FRENCH 16,6.17
FRENCH 16,6.17
FRENCH 20 001,5.64
FRENCH 20 001,5.64
FRENCH 20 001,5.64
FRENCH 20 001,5.64
FRENCH 20 002,5.17
FRENCH 20 002,5.17
FRENCH 20 002,5.17
FRENCH 20 002,5.17
FRENCH 20 003,4.33
FRENCH 20 003,4.33
FRENCH 20 003,4.33
FRENCH 20 003,4.33
FRENCH 30 001,4.43
FRENCH 30 001,4.43
FRENCH 30 001,4.43
FRENCH 30 001,4.43
FRENCH 30 002,3.67
FRENCH 30 002,3.67
FRENCH 30 002,3.67
FRENCH 30 002,3.67
FRENCH 30 003,3.17
FRENCH 30 003,3.17
FRENCH 30 003,3.17
FRENCH 30 003,3.17
FRENCH 30 004,3.67
FRENCH 30 005,3.75
FRENCH 40 001,4.33
FRENCH 40 001,4.33
FRENCH 40 001,4.33
FRENCH 40 001,4.33
FRENCH 40 002,4.40
FRENCH 40 002,4.40
FRENCH 40 002,4.40
FRENCH 40 002,4.40
FRENCH 50 001,5.63
FRENCH 50 001,5.63
FRENCH 50 001,5.63
FRENCH 50 001,5.63
FRENCH 50 003,5.00
FRENCH 62 001,4.29
GERMAN AX,7.25
GERMAN 10A 1,6.73
GERMAN 10A 2,6.14
GERMAN 10A 3,4.80
GERMAN 10A 4,4.71
GERMAN 10AB,14.80
GERMAN 10AB,14.80
GERMAN 10AB,14.80
GERMAN 10AB,14.80
GERMAN 10B 1,5.63
GERMAN 10B 2,4.82
GERMAN 10B 3,5.00
GERMAN 20A 001,5.38
GERMAN 20A 002,6.13
GERMAN 20AB,9.80
GERMAN 20AB,9.80
GERMAN 20AB,9.80
GERMAN 20AB,9.80
GERMAN 20B,5.40
GERMAN 20B 001,5.40
GERMAN 20B 2,6.00
GERMAN 62,4.60
GOV 3006B,
GOV 3007B,
GREEK 3,4.20
GULLAH AA,5.00
GULLAH AB,3.00
HAITIAN AA,3.00
HAITIAN AB,2.25
IGBO AA,4.13
IGBO AB,2.71
IGBO BA,4.25
ITAL 10 001,6.75
ITAL 10,6.75
ITAL 10 002,6.20
ITAL 10 003,7.67
ITAL 11,6.33
ITAL 11 001,6.33
ITAL 11 002,6.33
ITAL 11 003,6.33
ITAL 15,11.33
ITAL 15,11.33
ITAL 15,11.33
ITAL 15,11.33
ITAL 20,7.20
ITAL 20,7.20
ITAL 20,7.20
ITAL 20,7.20
ITAL 30,5.50
ITAL 30,5.50
ITAL 30,5.50
ITAL 30,5.50
ITAL 50,8.00
ITAL 50,8.00
ITAL 50,8.00
ITAL 50,8.00
JAMAICAN AA,3.56
LATIN 10,4.67
LATIN 10,4.67
LATIN 10,4.67
LATIN 10,4.67
LPS A,7.35
MCB 327,1.17
MOD-HEB 120B,11.60
NEURO 91,13.24
NEURO 91,13.24
NEURO 91,13.24
NEURO 91,13.24
NEURO 101QA,3.44
NEURO 101QB,3.38
NEURO 101RA,3.20
NEURO 101RB,4.17
NEURO 101UA,3.50
NEURO 101UB,3.56
NEURO 101VB,3.20
NEUROBIO 212,4.45
OEB 399,0.83
OEB 399,0.83
OEB 399,0.83
OEB 399,0.83
PHIL 97 002,5.14
PHIL 97 002,5.14
PHIL 97 002,5.14
PHIL 97 002,5.14
PHIL 97 003,5.83
PHIL 97 004,5.14
PHIL 98 001,5.60
PHIL 311,
PHIL 311,
PHIL 311,
PHIL 311,
PORTUG 10,3.89
PORTUG 11,4.00
PORTUG 11,4.00
PORTUG 11,4.00
PORTUG 11,4.00
PORTUG 11S,4.00
PSY 975,5.33
PSY 980AC,3.93
PSY 980AD,3.90
PSY 980CL,4.00
PSY 980JL,3.29
PSY 980JO,3.00
PSY 980SC,3.83
PSY 3420,0.00
PSY 3420,0.00
PSY 3420,0.00
PSY 3420,0.00
PSY 3555,0.50
PSY 3555,0.50
PSY 3555,0.50
PSY 3555,0.50
RUSS BA 002,12.50
RUSS 120R,4.00
RUSS 120R,4.00
RUSS 120R,4.00
RUSS 120R,4.00
SCAND 90R.C 001,2.86
SCAND 90R.C 001,2.86
SCAND 90R.C 001,2.86
SCAND 90R.C 001,2.86
SOCIOL 92R,4.60
SOCIOL 92R,4.60
SOCIOL 92R,4.60
SOCIOL 92R,4.60
SOCIOL 98WF,5.75
SOCIOL 99A,6.83
SOCIOL 99A,6.83
SOCIOL 99A,6.83
SOCIOL 99A,6.83
SPANSH 10 001,3.60
SPANSH 10 001,3.60
SPANSH 10 001,3.60
SPANSH 10 001,3.60
SPANSH 10 002,3.83
SPANSH 10 002,3.83
SPANSH 10 002,3.83
SPANSH 10 002,3.83
SPANSH 10 003,3.67
SPANSH 10 004,4.17
SPANSH 10 005,4.38
SPANSH 10 006,3.90
SPANSH 10 007,5.60
SPANSH 10 009,3.43
SPANSH 10 10,2.80
SPANSH 10 11,3.33
SPANSH 11 001,3.89
SPANSH 11 001,3.89
SPANSH 11 001,3.89
SPANSH 11 001,3.89
SPANSH 11 002,4.50
SPANSH 11 002,4.50
SPANSH 11 002,4.50
SPANSH 11 002,4.50
SPANSH 11 003,4.40
SPANSH 11 003,4.40
SPANSH 11 003,4.40
SPANSH 11 003,4.40
SPANSH 11 004,5.73
SPANSH 11 004,5.73
SPANSH 11 004,5.73
SPANSH 11 004,5.73
SPANSH 11 005,3.60
SPANSH 11 005,3.60
SPANSH 11 005,3.60
SPANSH 11 005,3.60
SPANSH 11 006,4.07
SPANSH 11 006,4.07
SPANSH 11 006,4.07
SPANSH 11 006,4.07
SPANSH 11 007,5.44
SPANSH 11 007,5.44
SPANSH 11 007,5.44
SPANSH 11 007,5.44
SPANSH 11 008,3.11
SPANSH 11 008,3.11
SPANSH 11 008,3.11
SPANSH 11 008,3.11
SPANSH 11 009,4.64
SPANSH 11 010,3.44
SPANSH 15,10.17
SPANSH 15,10.17
SPANSH 15,10.17
SPANSH 15,10.17
SPANSH 20 001,6.91
SPANSH 20 001,6.91
SPANSH 20 001,6.91
SPANSH 20 001,6.91
SPANSH 20 002,4.43
SPANSH 20 002,4.43
SPANSH 20 002,4.43
SPANSH 20 002,4.43
SPANSH 20 003,7.00
SPANSH 20 003,7.00
SPANSH 20 003,7.00
SPANSH 20 003,7.00
SPANSH 20 004,6.10
SPANSH 20 004,6.10
SPANSH 20 004,6.10
SPANSH 20 004,6.10
SPANSH 20 005,6.09
SPANSH 20 005,6.09
SPANSH 20 005,6.09
SPANSH 20 005,6.09
SPANSH 20 006,3.71
SPANSH 20 006,3.71
SPANSH 20 006,3.71
SPANSH 20 006,3.71
SPANSH 20 007,5.09
SPANSH 20 007,5.09
SPANSH 20 007,5.09
SPANSH 20 007,5.09
SPANSH 20 008,4.00
SPANSH 20 008,4.00
SPANSH 20 008,4.00
SPANSH 20 008,4.00
SPANSH 20 009,6.09
SPANSH 30 001,4.14
SPANSH 30 001,4.14
SPANSH 30 001,4.14
SPANSH 30 001,4.14
SPANSH 30 002,5.00
SPANSH 30 002,5.00
SPANSH 30 002,5.00
SPANSH 30 002,5.00
SPANSH 30 003,5.78
SPANSH 30 003,5.78
SPANSH 30 003,5.78
SPANSH 30 003,5.78
SPANSH 30 004,4.14
SPANSH 30 004,4.14
SPANSH 30 004,4.14
SPANSH 30 004,4.14
SPANSH 30 005,3.00
SPANSH 30 005,3.00
SPANSH 30 005,3.00
SPANSH 30 005,3.00
SPANSH 30 006,4.00
SPANSH 30 007,4.40
SPANSH 40 001,5.92
SPANSH 40 002,4.33
SPANSH 40 003,5.20
SPANSH 40 003,5.20
SPANSH 40 003,5.20
SPANSH 40 003,5.20
SPANSH 40 004,3.70
SPANSH 40 004,3.70
SPANSH 40 004,3.70
SPANSH 40 004,3.70
SPANSH 40 005,4.44
SPANSH 40 006,4.00
SPANSH 49H,3.58
SPANSH 50 001,4.40
SPANSH 50 001,4.40
SPANSH 50 001,4.40
SPANSH 50 001,4.40
SPANSH 50 002,4.38
SPANSH 50 002,4.38
SPANSH 50 002,4.38
SPANSH 50 002,4.38
SPANSH 50 003,3.57
SPANSH 50 003,3.57
SPANSH 50 003,3.57
SPANSH 50 003,3.57
SPANSH 50 004,4.22
SPANSH 50 004,4.22
SPANSH 50 004,4.22
SPANSH 50 004,4.22
SPANSH 59,5.25
SPANSH 59,5.25
SPANSH 59,5.25
SPANSH 59,5.25
SPANSH 59H,3.64
SPANSH 61N 001,4.33
SPANSH 61PH 002,3.75
SPANSH 61PH 003,4.17
SPANSH 61PH 004,4.64
STAT 314HFRB,
SWAHILI BA,4.00
TIBET 101A,8.25
WSTAFRCN AB,1.91
WSTAFRCN BA,3.83
YORUBA BA,3.80
YORUBA BB,3.80
ZULU AA,3.63
ZULU AB,3.42
